Nama pembeli,Tanggal pembelian,Review,Column 4
,2023-12-01 03:32 | Variasi: 1 Bulan,,"b*****i2023-12-01 03:32 | Variasi: 1 BulanBagus dan bisa langsung digunakan, mungkin karena akun nya sharing atau faktor lainnya jadi pengguna terbatas 40 chat / 3 jam🤔🤔

Lagi semangat2 nya eh uda ngak bs lagiMembantu?Laporkan Penyalahgunaan"
vixiestshop,2023-08-15 12:23 | Variasi: 1 Bulan,,vixiestshop2023-08-15 12:23 | Variasi: 1 BulanBerfungsi dengan Baik.Membantu?Laporkan Penyalahgunaan
jacktrezer,2023-12-13 09:34 | Variasi: 1 Bulan,,jacktrezer2023-12-13 09:34 | Variasi: 1 BulanTidak lifetime untuk chat GPT Plus nya..Membantu?Laporkan Penyalahgunaan
,2024-01-28 19:17 | Variasi: 1 Bulan,,"d*****_2024-01-28 19:17 | Variasi: 1 BulanRespon penjual agak lama, gptnya bisa dipakeMembantu?Laporkan Penyalahgunaan"
chalfrost,2024-01-31 07:56 | Variasi: 1 Bulan,,chalfrost2024-01-31 07:56 | Variasi: 1 BulanMeskipun kadng limit tapi bagusMembantu?Laporkan Penyalahgunaan
1_suryadarma_1,2023-07-19 07:57 | Variasi: 1 Bulan,,1_suryadarma_12023-07-19 07:57 | Variasi: 1 BulanNiceMembantu?Laporkan Penyalahgunaan
fitriaaridsa,2024-05-28 06:50 | Variasi: 1 Bulan,,fitriaaridsa2024-05-28 06:50 | Variasi: 1 BulanFungsi: baikDesain: kerenPenggunaan: lumayanMembantu?Laporkan Penyalahgunaan
,2024-05-13 03:32 | Variasi: 3 Bulan,,x*****52024-05-13 03:32 | Variasi: 3 BulanKena limit terus ampun dehMembantu?Laporkan Penyalahgunaan
,2023-09-03 17:09 | Variasi: 1 Bulan,,"i*****c2023-09-03 17:09 | Variasi: 1 Bulanharus sabar, bnyk yang pkeMembantu?Laporkan Penyalahgunaan"
nxxfl90_kp,2024-09-27 01:45 | Variasi: 1 Bulan,,nxxfl90_kp2024-09-27 01:45 | Variasi: 1 BulanDri chat bot aiMembantu?Laporkan Penyalahgunaan
humamrh,2024-01-12 22:29 | Variasi: 1 Bulan,,humamrh2024-01-12 22:29 | Variasi: 1 BulanKatanya lifetime penipuUpdate PenilaianBaikMembantu?Laporkan Penyalahgunaan
1_suryadarma_1,2023-07-19 07:57 | Variasi: 1 Bulan,,1_suryadarma_12023-07-19 07:57 | Variasi: 1 BulanNiceMembantu?Laporkan Penyalahgunaan
fitriaaridsa,2024-05-28 06:50 | Variasi: 1 Bulan,,fitriaaridsa2024-05-28 06:50 | Variasi: 1 BulanFungsi: baikDesain: kerenPenggunaan: lumayanMembantu?Laporkan Penyalahgunaan
,2024-05-13 03:32 | Variasi: 3 Bulan,,x*****52024-05-13 03:32 | Variasi: 3 BulanKena limit terus ampun dehMembantu?Laporkan Penyalahgunaan
,2023-09-03 17:09 | Variasi: 1 Bulan,,"i*****c2023-09-03 17:09 | Variasi: 1 Bulanharus sabar, bnyk yang pkeMembantu?Laporkan Penyalahgunaan"
nxxfl90_kp,2024-09-27 01:45 | Variasi: 1 Bulan,,nxxfl90_kp2024-09-27 01:45 | Variasi: 1 BulanDri chat bot aiMembantu?Laporkan Penyalahgunaan
humamrh,2024-01-12 22:29 | Variasi: 1 Bulan,,humamrh2024-01-12 22:29 | Variasi: 1 BulanKatanya lifetime penipuUpdate PenilaianBaikMembantu?Laporkan Penyalahgunaan
,2024-03-19 19:10 | Variasi: 1 Bulan,,d*****92024-03-19 19:10 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
,2024-06-20 08:37 | Variasi: 1 Bulan,,a*****j2024-06-20 08:37 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
,2024-06-21 09:57 | Variasi: 1 Bulan,,o*****i2024-06-21 09:57 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
teddynoerizal,2024-06-21 12:10 | Variasi: 1 Bulan,,teddynoerizal2024-06-21 12:10 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
devizuliavani,2024-04-20 18:34 | Variasi: 1 Bulan,,devizuliavani2024-04-20 18:34 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
apriyansyah_27,2024-07-06 11:55 | Variasi: 1 Bulan,,apriyansyah_272024-07-06 11:55 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
khairhd,2024-07-11 22:39 | Variasi: 1 Bulan,,khairhd2024-07-11 22:39 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
nadanufa,2024-09-22 06:25 | Variasi: 1 Bulan,,nadanufa2024-09-22 06:25 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
gadhyana90,2024-08-26 06:37 | Variasi: 1 Bulan,,gadhyana902024-08-26 06:37 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
,2024-09-01 05:07 | Variasi: 1 Bulan,,a*****42024-09-01 05:07 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
toko51surabaya,2024-10-23 13:41 | Variasi: 3 Bulan,,toko51surabaya2024-10-23 13:41 | Variasi: 3 BulanMembantu?Laporkan Penyalahgunaan
suchyana15,2024-02-12 09:03 | Variasi: 1 Bulan,,suchyana152024-02-12 09:03 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
mirataniaiya02,2024-04-07 08:34 | Variasi: Lifetime,,mirataniaiya022024-04-07 08:34 | Variasi: LifetimeMembantu?Laporkan Penyalahgunaan
,2024-09-29 12:24 | Variasi: 1 Bulan,,h*****h2024-09-29 12:24 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
buitenzorg29,2024-04-18 16:47 | Variasi: 1 Bulan,,buitenzorg292024-04-18 16:47 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
baghizzuhdiadzin,2024-03-01 20:23 | Variasi: 1 Bulan,,baghizzuhdiadzin2024-03-01 20:23 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
fahrihan11,2024-10-04 02:23 | Variasi: 1 Bulan,,fahrihan112024-10-04 02:23 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
putricyintia18,2024-11-04 10:27 | Variasi: 1 Bulan,,putricyintia182024-11-04 10:27 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
reagenmandias,2024-07-10 23:13 | Variasi: 1 Bulan,,reagenmandias2024-07-10 23:13 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
dyahmaharani1224,2024-03-14 08:44 | Variasi: 1 Bulan,,dyahmaharani12242024-03-14 08:44 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
syabilarabiatulbakhtiar,2024-06-20 13:52 | Variasi: 1 Bulan,,syabilarabiatulbakhtiar2024-06-20 13:52 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
ragiltrias70,2024-09-13 14:09 | Variasi: 1 Bulan,,ragiltrias702024-09-13 14:09 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
fuad_edy,2024-06-05 18:49 | Variasi: Lifetime,,fuad_edy2024-06-05 18:49 | Variasi: LifetimeMembantu?Laporkan Penyalahgunaan
,2024-05-30 18:40 | Variasi: 1 Bulan,,a*****12024-05-30 18:40 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
,2023-10-22 14:24 | Variasi: 1 Bulan,,"a*****o2023-10-22 14:24 | Variasi: 1 BulanSepadan dengan Harga: risiko sharing account yaa beginilah ... pas bener2 butuh pake, kuotanya udh dihabiskan user lain .. jd hrs nunggu bbrp jam biar bs pake ...Bagusnya chatgpt 4 bs upload gambar, tapi gk terlalu bs diandalkan utk jwb soal etung2an ... dari 7 soal yg dijwb bener cuma 2 wkwkkkk3Laporkan Penyalahgunaan"
,2024-06-27 06:32 | Variasi: 1 Bulan,,z*****82024-06-27 06:32 | Variasi: 1 BulanFungsi: baikDesain: baikPenggunaan: sulitAdminnya sulit dihubungi. Pass susah sering gak bisa digunakan saat loginMembantu?Laporkan Penyalahgunaan
sansan.fajrian,2024-05-14 18:36 | Variasi: 1 Bulan,,"sansan.fajrian2024-05-14 18:36 | Variasi: 1 BulanMurah sih, adminnya balesnya lamaaa, dan cape banget makenya gampang ke limit kayaknya usernya banyakMembantu?Laporkan Penyalahgunaan"
,2024-07-31 09:41 | Variasi: 1 Bulan,,"k*****a2024-07-31 09:41 | Variasi: 1 BulanSering error baru penggunaan 4 hari langsung error, adminya agak slowres jadi baru beberapa kali kepakai habis tu gabisa dipakai lagiMembantu?Laporkan Penyalahgunaan"
ricetea89,2023-10-13 09:45 | Variasi: 3 Bulan,,"ricetea892023-10-13 09:45 | Variasi: 3 BulanYg pro suka kena limited, jadi ujung2 nya pakai yang biasa ajaMembantu?Laporkan Penyalahgunaan"
alwanrahmana,2024-02-21 00:26 | Variasi: 1 Bulan,,"alwanrahmana2024-02-21 00:26 | Variasi: 1 Bulankebanyakan sharing, limit terus chat gpt 4 nyaMembantu?Laporkan Penyalahgunaan"
aldinal21,2023-09-29 20:45 | Variasi: 1 Bulan,,"aldinal212023-09-29 20:45 | Variasi: 1 Bulanmantap, asli, cuma karena ini sharing, jd chatgpt4 nya cepet abis mulu, susah jarang kebagianMembantu?Laporkan Penyalahgunaan"
alif_ghiffaari,2024-04-21 14:40 | Variasi: 3 Bulan,,"alif_ghiffaari2024-04-21 14:40 | Variasi: 3 BulanKebanyakan user, admin sepertinya emang sengaja tidak membatasi org yang memiliki share account nya, jadinya tiap 30 menit doang udah limit, nyebelin bangetMembantu?Laporkan Penyalahgunaan"
nov.andrak,2024-06-23 12:09 | Variasi: 3 Bulan,,"nov.andrak2024-06-23 12:09 | Variasi: 3 Bulankecewa, awalnya dikasih yg versi openai tapi cuma seminggu log out sendiri, garansi sih tapi pas minta garansi dikasihnya yg model lain (bukan yg login di web openai) berkali kali lagi
admin sangat slow respon dan dilempar ke akun lain yg sama aja slow respon Membantu?Laporkan Penyalahgunaan"
,2023-06-05 18:03 | Variasi: 1 Bulan,,"a*****e2023-06-05 18:03 | Variasi: 1 Bulanbanyak yg make, gabisa pake yg chatgpt41Laporkan Penyalahgunaan"
mad_aldho,2024-09-22 16:58 | Variasi: 3 Bulan,,"mad_aldho2024-09-22 16:58 | Variasi: 3 Bulankirain chat gpt asli ori, eh malah bukan dan slow lagi lambat agak keceea sih gak sesuaiMembantu?Laporkan Penyalahgunaan"
,2023-07-17 07:37 | Variasi: 1 Bulan,,n*****r2023-07-17 07:37 | Variasi: 1 BulanProduk bisa d pakai. Walaupun pelayanan kek s@mphMembantu?Laporkan Penyalahgunaan
,2024-09-21 08:16 | Variasi: 1 Bulan,,"a*****22024-09-21 08:16 | Variasi: 1 Bulanpenjualnya gajelas! chat singkat2 tidak menghargai pembeli samasekali,tidak membantu sama sekali!!!!! ditanya baik2 baru dijawab hari lain!Membantu?Laporkan Penyalahgunaan"
,2023-12-21 19:24 | Variasi: 1 Bulan,,s*****12023-12-21 19:24 | Variasi: 1 BulanGk bisa dipakai setiap saatMembantu?Laporkan Penyalahgunaan
diaz_joki,2024-04-20 13:56 | Variasi: 1 Bulan,,diaz_joki2024-04-20 13:56 | Variasi: 1 BulanribetMembantu?Laporkan Penyalahgunaan
,2024-05-07 12:41 | Variasi: Lifetime,,z*****h2024-05-07 12:41 | Variasi: LifetimeGak sesuai ekspektasiUpdate PenilaianMembantu?Laporkan Penyalahgunaan
ciptazain,2024-06-06 10:53 | Variasi: 1 Bulan,,ciptazain2024-06-06 10:53 | Variasi: 1 Bulanseller slow responMembantu?Laporkan Penyalahgunaan
,2024-03-28 05:11 | Variasi: 3 Bulan,,"b*****i2024-03-28 05:11 | Variasi: 3 BulanTiap hari ganti akun, tiap mau pakai harus minta kode via chat. Balasnya chat seminggu kemudian.Membantu?Laporkan Penyalahgunaan"
,2024-03-04 06:01 | Variasi: 1 Bulan,,e*****12024-03-04 06:01 | Variasi: 1 Bulanslowrespon padahal onlineMembantu?Laporkan Penyalahgunaan
,2024-01-14 23:01 | Variasi: 1 Bulan,,t*****a2024-01-14 23:01 | Variasi: 1 Bulankebanyakan limit 0:04Membantu?Laporkan Penyalahgunaan
,2023-11-20 10:39 | Variasi: 1 Bulan,,h*****n2023-11-20 10:39 | Variasi: 1 Bulan1Laporkan Penyalahgunaan
yangsorasuptisa,2023-09-07 11:18 | Variasi: 1 Bulan,,yangsorasuptisa2023-09-07 11:18 | Variasi: 1 BulanFitur Terbaik: ahAh uhMembantu?Laporkan Penyalahgunaan
alhanif16,2024-04-06 13:07 | Variasi: 1 Bulan,,alhanif162024-04-06 13:07 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
vyandansa,2024-02-11 08:47 | Variasi: 1 Bulan,,vyandansa2024-02-11 08:47 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
,2024-03-04 06:01 | Variasi: 1 Bulan,,e*****12024-03-04 06:01 | Variasi: 1 Bulanslowrespon padahal onlineMembantu?Laporkan Penyalahgunaan
,2024-01-14 23:01 | Variasi: 1 Bulan,,t*****a2024-01-14 23:01 | Variasi: 1 Bulankebanyakan limit 0:04Membantu?Laporkan Penyalahgunaan
,2023-11-20 10:39 | Variasi: 1 Bulan,,h*****n2023-11-20 10:39 | Variasi: 1 Bulan1Laporkan Penyalahgunaan
yangsorasuptisa,2023-09-07 11:18 | Variasi: 1 Bulan,,yangsorasuptisa2023-09-07 11:18 | Variasi: 1 BulanFitur Terbaik: ahAh uhMembantu?Laporkan Penyalahgunaan
alhanif16,2024-04-06 13:07 | Variasi: 1 Bulan,,alhanif162024-04-06 13:07 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
vyandansa,2024-02-11 08:47 | Variasi: 1 Bulan,,vyandansa2024-02-11 08:47 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
,2024-09-04 21:12 | Variasi: 1 Bulan,,s*****a2024-09-04 21:12 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
,2024-04-20 04:48 | Variasi: 1 Bulan,,f*****52024-04-20 04:48 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
,2024-06-07 21:32 | Variasi: 1 Bulan,,c*****a2024-06-07 21:32 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
,2024-10-02 07:26 | Variasi: 1 Bulan,,s*****72024-10-02 07:26 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
ravisyamtoto,2024-03-08 04:35 | Variasi: 1 Bulan,,ravisyamtoto2024-03-08 04:35 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
dewthifl,2024-11-07 06:47 | Variasi: 1 Bulan,,dewthifl2024-11-07 06:47 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
raisalmf,2024-06-23 09:24 | Variasi: 1 Bulan,,raisalmf2024-06-23 09:24 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
,2024-10-30 09:59 | Variasi: 1 Bulan,,m*****t2024-10-30 09:59 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
dimas_mantra,2024-03-21 12:55 | Variasi: 1 Bulan,,dimas_mantra2024-03-21 12:55 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
fathiaanggrainynst,2024-06-07 15:48 | Variasi: 1 Bulan,,fathiaanggrainynst2024-06-07 15:48 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
anangpare,2024-10-10 06:05 | Variasi: 1 Bulan,,anangpare2024-10-10 06:05 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
,2024-11-08 05:45 | Variasi: 3 Bulan,,s*****e2024-11-08 05:45 | Variasi: 3 BulanMembantu?Laporkan Penyalahgunaan
andrawcksn14,2024-03-31 00:56 | Variasi: 1 Bulan,,andrawcksn142024-03-31 00:56 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
raihanfajri02,2024-02-10 17:59 | Variasi: 1 Bulan,,raihanfajri022024-02-10 17:59 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
abimanyusyaelindra,2024-06-23 11:28 | Variasi: 1 Bulan,,abimanyusyaelindra2024-06-23 11:28 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
inayahsals,2024-10-14 16:48 | Variasi: 1 Bulan,,inayahsals2024-10-14 16:48 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
uhadhilal,2024-08-20 05:28 | Variasi: 1 Bulan,,uhadhilal2024-08-20 05:28 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
,2024-01-10 18:15 | Variasi: 1 Bulan,,a*****32024-01-10 18:15 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
allambarja,2024-08-24 10:44 | Variasi: 1 Bulan,,allambarja2024-08-24 10:44 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
,2024-10-15 12:46 | Variasi: 3 Bulan,,f*****n2024-10-15 12:46 | Variasi: 3 BulanMembantu?Laporkan Penyalahgunaan
bonniestevhenvanhouten,2024-08-09 13:55 | Variasi: 1 Bulan,,bonniestevhenvanhouten2024-08-09 13:55 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
mokhamadsurianto,2024-06-29 06:58 | Variasi: 1 Bulan,,mokhamadsurianto2024-06-29 06:58 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
zegaz,2024-01-22 15:01 | Variasi: 3 Bulan,,zegaz2024-01-22 15:01 | Variasi: 3 BulanMembantu?Laporkan Penyalahgunaan
glorencyaoktav,2024-09-28 16:54 | Variasi: 1 Bulan,,glorencyaoktav2024-09-28 16:54 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
nabilaaaaaa21,2024-08-28 18:40 | Variasi: 1 Bulan,,nabilaaaaaa212024-08-28 18:40 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
,2024-11-05 20:04 | Variasi: 1 Bulan,,j*****42024-11-05 20:04 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
jorghiandre,2024-01-29 00:29 | Variasi: 1 Bulan,,jorghiandre2024-01-29 00:29 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
farihafizh01,2024-09-24 20:12 | Variasi: 1 Bulan,,farihafizh012024-09-24 20:12 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
timo88,2024-09-13 07:16 | Variasi: Lifetime,,timo882024-09-13 07:16 | Variasi: LifetimeMembantu?Laporkan Penyalahgunaan
a.angrahmat,2024-11-04 06:25 | Variasi: 1 Bulan,,a.angrahmat2024-11-04 06:25 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
alpeus18,2024-10-02 22:23 | Variasi: 3 Bulan,,alpeus182024-10-02 22:23 | Variasi: 3 BulanMembantu?Laporkan Penyalahgunaan
hendramarcos,2024-03-28 13:55 | Variasi: 3 Bulan,,hendramarcos2024-03-28 13:55 | Variasi: 3 BulanMembantu?Laporkan Penyalahgunaan
muhammad.abi,2024-02-26 01:03 | Variasi: 3 Bulan,,muhammad.abi2024-02-26 01:03 | Variasi: 3 BulanMembantu?Laporkan Penyalahgunaan
leonardogosman,2024-01-23 23:21 | Variasi: 1 Bulan,,leonardogosman2024-01-23 23:21 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
aldasagala12,2024-01-02 15:10 | Variasi: 1 Bulan,,aldasagala122024-01-02 15:10 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
g0_desain_graphic,2024-02-09 15:41 | Variasi: 1 Bulan,,g0_desain_graphic2024-02-09 15:41 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
agung_susanto_18,2023-12-30 19:32 | Variasi: 1 Bulan,,"agung_susanto_182023-12-30 19:32 | Variasi: 1 BulanPerlu di perbaiki baik pelayanan ataupun jasa, ribet kalo apa² terjadi kendala, tidak usah pake akun² fake, sgala cara di halalkan. Ada harga ada kualitas.1Laporkan Penyalahgunaan"
ridhorifal2,2024-07-08 10:40 | Variasi: 3 Bulan,,"ridhorifal22024-07-08 10:40 | Variasi: 3 Bulankurang bngt cuman bisa sekali doanh chatgpt plus after itu kena error di system mulu, admin selalu online tp ga dibales lagiMembantu?Laporkan Penyalahgunaan"
rizkysabila07,2024-05-24 09:32 | Variasi: 1 Bulan,,"rizkysabila072024-05-24 09:32 | Variasi: 1 Bulancuma bisa beberapa hari doanggg, ga sampe 5 hariiiiii, pas ditanya juga gaada responMembantu?Laporkan Penyalahgunaan"
byebuyme,2024-05-20 12:07 | Variasi: 1 Bulan,,"byebuyme2024-05-20 12:07 | Variasi: 1 BulanBaru sekali pake langsung error, katanya ada garansi tapi chat sampe sekarang blm dibales, tlg dong tanggung jawabnya🥲Membantu?Laporkan Penyalahgunaan"
6s_10fb6aw,2024-09-21 08:30 | Variasi: 1 Bulan,,"6s_10fb6aw2024-09-21 08:30 | Variasi: 1 BulanFungsi: baik, lamus(lancar dan mulus)Desain: okPenggunaan: sangat layakmantul pokoknyaUpdate Penilaianno responMembantu?Laporkan Penyalahgunaan"
,2024-03-06 10:01 | Variasi: 1 Bulan,,"a*****32024-03-06 10:01 | Variasi: 1 Bulanbagus bisa dibuat langganan, cht gpt work toppp lahh pokoknya 0:04Update Penilaianpelayanan 0Membantu?Laporkan Penyalahgunaan"
,2024-10-04 09:37 | Variasi: 1 Bulan,,"q*****p2024-10-04 09:37 | Variasi: 1 BulanPenggunaan: Penggunaan terbatasSehari pake lancar, besoknya udah gabisa. Padahal jarang pake.Membantu?Laporkan Penyalahgunaan"
goodtimeforme,2024-02-19 19:06 | Variasi: 1 Bulan,,"goodtimeforme2024-02-19 19:06 | Variasi: 1 BulanKebanyakan user, kuota ga kebagian, mending pikir pikir lagi deh mau beli wkwkwkwk, not worthMembantu?Laporkan Penyalahgunaan"
albirkarim1,2024-01-22 09:11 | Variasi: 1 Bulan,,albirkarim12024-01-22 09:11 | Variasi: 1 BulanGpt 4 nya udh kepake muluMembantu?Laporkan Penyalahgunaan
ikhsanch,2024-09-21 07:18 | Variasi: 1 Bulan,,"ikhsanch2024-09-21 07:18 | Variasi: 1 BulanBagus, tapi terlalu banyak penggunanya sampe gabisa digunainMembantu?Laporkan Penyalahgunaan"
ramdhani1313,2023-12-13 18:27 | Variasi: 1 Bulan,,ramdhani13132023-12-13 18:27 | Variasi: 1 BulanKelimit terus sama orang lain jadi percuma gakbisa pake gpt 4Membantu?Laporkan Penyalahgunaan
,2024-05-27 06:11 | Variasi: 1 Bulan,,"a*****s2024-05-27 06:11 | Variasi: 1 BulanPengguna nya slow resp, jadinya ga kepake chat gpt yang udah dibeliMembantu?Laporkan Penyalahgunaan"
,2024-11-07 19:15 | Variasi: 1 Bulan,,m*****m2024-11-07 19:15 | Variasi: 1 BulanFungsi: memang aiDesain: aiPenggunaan: bukan chat gpt Voicetidak login ke aplikasi chat gpt.Membantu?Laporkan Penyalahgunaan
,2024-07-06 12:18 | Variasi: 3 Bulan,,"3*****o2024-07-06 12:18 | Variasi: 3 BulanBeli 3 bulan 
1 bulan okey dikasih akun 
Untuk bulan berikutnya dikasih bukan akun chat gpt ., dikasih akun lain ., alasan nya akun chat gpt sedang error ., nyoba beli pake akun shopee lain dikasih lah akun chat gpt ., hemmMembantu?Laporkan Penyalahgunaan"
,2024-07-03 21:54 | Variasi: 1 Bulan,,o*****i2024-07-03 21:54 | Variasi: 1 Bulanbisa lebih baik ya pelayanannyaMembantu?Laporkan Penyalahgunaan
,2024-03-30 18:57 | Variasi: 1 Bulan,,"w*****i2024-03-30 18:57 | Variasi: 1 Bulansering error dan selalu disuruh ganti akun tapi saja tetep error, tolong ditingkatkan lagi 🙏🏻Membantu?Laporkan Penyalahgunaan"
afham_pratama,2024-07-18 10:34 | Variasi: 1 Bulan,,"afham_pratama2024-07-18 10:34 | Variasi: 1 Bulantidak bisa dipakai, terlalu ramai penggunaMembantu?Laporkan Penyalahgunaan"
rainkaaa,2024-10-31 07:00 | Variasi: 1 Bulan,,rainkaaa2024-10-31 07:00 | Variasi: 1 Bulanweb chat bot ini bukan OPEN AIMembantu?Laporkan Penyalahgunaan
nurcholisramlan,2023-06-06 22:10 | Variasi: 1 Bulan,,nurcholisramlan2023-06-06 22:10 | Variasi: 1 BulanSudah gak bisa digunakan lagi 🥲Membantu?Laporkan Penyalahgunaan
muhamadmansur77,2023-05-11 08:26 | Variasi: 3 Bulan,,muhamadmansur772023-05-11 08:26 | Variasi: 3 BulanPerlu diupdateMembantu?Laporkan Penyalahgunaan
andiher54,2024-07-24 10:52 | Variasi: 1 Bulan,,"andiher542024-07-24 10:52 | Variasi: 1 BulanBukan akun chatgpt, melainkan akun bot ai lain.Membantu?Laporkan Penyalahgunaan"
mragusmuliana,2024-11-09 13:08 | Variasi: 1 Bulan,,"mragusmuliana2024-11-09 13:08 | Variasi: 1 BulanIni akun share, lebih sering ga bisa dipakai karena limitMembantu?Laporkan Penyalahgunaan"
erfangazali,2023-12-03 21:26 | Variasi: 1 Bulan,,erfangazali2023-12-03 21:26 | Variasi: 1 Bulanjoss pokoEUpdate Penilaianawalnya sih lancar tetapi beberapa kali pemakaian akun tidak bisa diakses. sampai 4 kali ganti akun semua disuspend minta yang 5 kali.. malah dicuekkin padahal belum habis masa pemakaian..Membantu?Laporkan Penyalahgunaan
ggrrraawwss,2023-09-26 14:00 | Variasi: 1 Bulan,,ggrrraawwss2023-09-26 14:00 | Variasi: 1 BulanSepadan dengan Harga: sama aja kaya sign up biasapada akhirnya ChatGPT 4 nya dari beberapa hari kemarin coba ga kebagian sama sekali sangking sharing sama banyak orang. ya pada akhir nya kebagian yang default 3.5 aja.3Laporkan Penyalahgunaan
haidarhaidar707,2024-11-09 21:21 | Variasi: 1 Bulan,,haidarhaidar7072024-11-09 21:21 | Variasi: 1 BulanTernyata dipake sama banyak orang1Laporkan Penyalahgunaan
rikfantokarya,2023-11-03 10:22 | Variasi: 1 Bulan,,rikfantokarya2023-11-03 10:22 | Variasi: 1 BulanSering tidak bisa digunakan.Membantu?Laporkan Penyalahgunaan
,2024-03-18 22:47 | Variasi: 1 Bulan,,v*****a2024-03-18 22:47 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
auliaraniiiiii,2024-07-12 08:05 | Variasi: 1 Bulan,,auliaraniiiiii2024-07-12 08:05 | Variasi: 1 BulanUpdate Penilaianjarang bgt kepakeee karna ai nya lebih banyak jawab gatau jawaban wkwk dan jawaban yg diberikan pun kurang akurat Membantu?Laporkan Penyalahgunaan
bangajix2,2024-03-16 20:18 | Variasi: 1 Bulan,,bangajix22024-03-16 20:18 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
fadhlidj2,2024-06-07 22:02 | Variasi: 1 Bulan,,fadhlidj22024-06-07 22:02 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
smart.hijab_,2024-06-10 17:30 | Variasi: 1 Bulan,,smart.hijab_2024-06-10 17:30 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
radarmania,2024-09-12 11:38 | Variasi: 1 Bulan,,radarmania2024-09-12 11:38 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
,2024-11-10 12:59 | Variasi: 1 Bulan,,a*****52024-11-10 12:59 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
gifaryhhadatul,2024-09-07 16:59 | Variasi: 1 Bulan,,gifaryhhadatul2024-09-07 16:59 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
sonia102000,2024-07-17 20:58 | Variasi: 1 Bulan,,sonia1020002024-07-17 20:58 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
